project_type,audience,color_pref,layout_pref,award_winner,recommendation
portfolio,tech,blue,minimal,yes,"Use a clean sans-serif (e.g., Inter), blue primary palette, generous whitespace, two-column grid for projects"
portfolio,creative,purple,grid,no,"Combine expressive headings with purple accent, card-based grid, medium-weight display font"
portfolio,enterprise,neutral,classic,no,"Subtle neutral palette, clear hierarchy, conservative serif for headings, project showcase carousel"
blog,general,green,classic,no,"Readable serif body, green accent, left sidebar for navigation, comfortable line-length"
blog,young,orange,modern,no,"Large imagery, warm orange accents, modern sans-serif, single-column reading view with in-article CTAs"
blog,tech,blue,minimal,yes,"Minimal chrome, monospace code snippets, blue links and CTA, strong visual hierarchy"
ecommerce,young,red,modern,yes,"High-contrast product cards, bold typography for prices, red accents for CTAs, grid with filtering"
ecommerce,general,neutral,card-based,no,"Neutral background, prominent product imagery, card layout with clear add-to-cart buttons"
ecommerce,designer,purple,modern,no,"Stylish product pages, purple accent for premium feel, large hero with swipeable gallery"
landing,creative,purple,one-page,no,"Full-bleed hero, creative typography, purple gradients, scannable content sections"
landing,saas,blue,minimal,yes,"Clear headline + subheadline, blue trust accents, pricing cards, concise feature list with icons"
landing,enterprise,blue,classic,yes,"Professional blue palette, structured feature matrix, enterprise-focused case studies and logos"
saas,tech,blue,modern,yes,"Dashboard screenshots, blue palette, clear CTA placement, concise benefits-oriented copy"
saas,startup,orange,modern,no,"Bold hero, orange accent, playful micro-interactions, simple signup flow"
agency,creative,purple,grid,no,"Showcase gallery, large project thumbnails, purple highlights, strong branding presence"
agency,enterprise,neutral,classic,no,"Corporate layout, neutral palette, case studies with metrics, professional typography"
portfolio,photography,black,one-page,no,"Dark theme, high-contrast imagery, minimal text, focus on fullscreen galleries"
nonprofit,general,green,classic,no,"Warm green accents for trust, clear donation CTA, approachable serif headings"
education,general,blue,classic,no,"Readable typography, blue institutional accents, clear curriculum sections and instructor bios"
education,young,orange,modern,no,"Friendly orange accents, visual cards for courses, prominent search and filters"
